"","V1","V2","V3"
"(Intercept)",0.0034869245435822,0.00286830836022319,0.00423895943032075
"zone1",2.53857394258215,2.06344899519112,3.12310005092236
"zone2",1.59053901835897,1.26881288370021,1.99384353786248
"zone4",1.12594371826709,0.702936101851242,1.80350568617317
"vehicle1",2.53577675631706,2.05942186529885,3.12231498860229
"vehicle2",1.53877005527892,1.20553717109372,1.96411470321972
"age1",7.33837655934204,5.73044669961358,9.3974821422442
"age2",4.11480151935968,3.28413082922022,5.15557766246023
"age3",1.59611836788124,1.18397410747879,2.15173104563311
"bonus1",0.514069077316533,0.409574582725007,0.645223183760169
"bonus2",0.80502199779123,0.628749772007244,1.03071276647766
